price,levy,manufacturer,model,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,engine_turbo,age
7840,0.0,FORD,Transit,Microbus,No,Diesel,2.0,230000.0,4.0,Manual,Front,2-3,Left wheel,White,0,1,22
4704,0.0,OPEL,Vectra,Sedan,No,Petrol,1.8,0.0,4.0,Automatic,Front,4-5,Left wheel,Green,4,0,28
20385,0.0,MERCEDES-BENZ,E 220,Sedan,Yes,Diesel,2.2,210000.0,4.0,Tiptronic,Rear,4-5,Left wheel,Black,8,1,17
549,2287.5,LEXUS,GX 470,Jeep,Yes,Petrol,3.55,0.0,8.0,Automatic,4x4,4-5,Left wheel,White,0,0,15
14454,583.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,158787.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,12
12074,1537.0,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,362717.5,6.0,Automatic,4x4,4-5,Left wheel,Blue,12,0,14
15681,1288.0,MERCEDES-BENZ,Vito,Goods wagon,No,Diesel,2.0,180000.0,6.0,Manual,Rear,4-5,Left wheel,White,4,1,16
19444,915.0,PORSCHE,Cayenne,Jeep,Yes,Diesel,3.0,175056.0,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,9
6899,0.0,BMW,X5,Jeep,Yes,CNG,3.55,200000.0,8.0,Automatic,4x4,4-5,Left wheel,Silver,6,0,23
24462,0.0,JEEP,Grand Cherokee,Jeep,Yes,Diesel,3.0,250000.0,6.0,Tiptronic,4x4,4-5,Left wheel,Black,10,1,16
23235,707.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,162000.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,12
47356,1077.0,TOYOTA,CHR Limited,Jeep,No,Petrol,2.0,10200.0,4.0,Tiptronic,Front,4-5,Left wheel,Red,12,0,4
7527,1486.0,HONDA,FIT,Hatchback,No,Hybrid,1.3,158000.0,4.0,Automatic,Front,4-5,Right-hand drive,Black,4,0,13
19121,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,103490.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11
314,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,362717.5,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,13
24462,751.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.4,203200.0,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,10
45734,1091.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,61057.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,7
20165,650.0,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.4,11200.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,8,1,7
21326,382.0,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,141000.0,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,9
549,1436.0,PORSCHE,Cayenne,Jeep,Yes,Petrol,3.55,160259.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,13
15681,503.0,TOYOTA,Prius C,Hatchback,No,Hybrid,1.5,128000.0,4.0,Variator,Front,4-5,Left wheel,Sky blue,8,0,11
47356,1017.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,100734.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,6
12544,0.0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,141500.0,4.0,Automatic,Front,4-5,Right-hand drive,Black,8,0,11
17249,0.0,FORD,Escape Hybrid,Jeep,No,Hybrid,2.3,147000.0,4.0,Variator,4x4,4-5,Left wheel,White,8,0,15
34889,891.0,HONDA,Civic,Sedan,Yes,Petrol,2.0,87768.0,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,7
862,1104.0,AUDI,Q7,Jeep,Yes,Petrol,3.0,264014.0,6.0,Automatic,4x4,4-5,Left wheel,Black,0,0,8
14583,0.0,RENAULT,Megane 1.5CDI,Sedan,No,Diesel,1.5,132542.0,4.0,Manual,Front,4-5,Left wheel,White,10,1,15
392,1017.0,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,1600.0,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,6
38500,639.0,AUDI,Q5,Jeep,Yes,Petrol,2.0,87000.0,1.0,Tiptronic,4x4,4-5,Left wheel,White,12,0,9
8781,0.0,MERCEDES-BENZ,C 180,Coupe,No,Petrol,2.0,260000.0,4.0,Manual,Rear,2-3,Left wheel,Blue,0,0,22
47356,0.0,MERCEDES-BENZ,GLA 250,Jeep,Yes,Petrol,2.0,5323.0,4.0,Tiptronic,4x4,4-5,Left wheel,Grey,0,1,4
1411,629.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,87112.0,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,8
392,919.0,BMW,535,Sedan,Yes,Petrol,3.0,204318.0,6.0,Automatic,Rear,4-5,Left wheel,Black,12,0,11
23521,781.0,CHEVROLET,Cruze LT,Sedan,No,Petrol,1.4,22000.0,4.0,Automatic,Front,4-5,Left wheel,Red,6,1,5
16935,530.0,FORD,Fusion,Sedan,No,Petrol,1.6,83000.0,4.0,Tiptronic,Front,4-5,Left wheel,Silver,8,1,10
10349,0.0,TOYOTA,VOXY,Minivan,Yes,Petrol,2.4,170000.0,4.0,Automatic,Front,4-5,Right-hand drive,Black,6,0,16
7213,530.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,312118.0,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,10
5331,0.0,MERCEDES-BENZ,A 160,Sedan,No,Petrol,1.6,130000.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,0,19
20526,640.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,200279.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,10
9722,765.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,362717.5,4.0,Automatic,Front,4-5,Left wheel,Orange,4,0,8
34657,777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,154672.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,9
36564,1091.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,110969.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,7
314,779.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,225510.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,10
5488,0.0,TOYOTA,Vitz,Hatchback,No,Petrol,1.5,210000.0,4.0,Manual,Front,4-5,Right-hand drive,Sky blue,3,0,22
30063,934.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,148105.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,8
15800,769.0,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.2,255456.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,12
43952,1249.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,111643.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,6
47356,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,84506.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,7
14740,645.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,288000.0,4.0,Automatic,Front,4-5,Left wheel,White,8,0,12
42337,0.0,FORD,Mustang,Cabriolet,Yes,Petrol,2.3,75000.0,4.0,Tiptronic,Rear,2-3,Left wheel,Silver,6,1,7
3763,1053.0,MERCEDES-BENZ,ML 350,Jeep,Yes,Petrol,3.5,94362.0,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,9
18189,0.0,TOYOTA,Prius,Sedan,No,Petrol,1.8,175000.0,4.0,Automatic,Front,4-5,Left wheel,Silver,8,0,11
862,2287.5,LEXUS,GX 470,Jeep,Yes,Petrol,3.55,263190.0,8.0,Automatic,4x4,4-5,Left wheel,White,0,0,15
5645,1324.0,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,264877.0,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,13
7527,830.0,TOYOTA,Yaris,Sedan,Yes,Petrol,1.5,27656.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,4
21953,1187.0,HONDA,Civic,Sedan,No,Hybrid,1.4,16000.0,8.0,Automatic,4x4,4-5,Right-hand drive,White,10,0,9
8154,0.0,HONDA,Cr-v,Jeep,No,Petrol,2.0,0.0,4.0,Automatic,4x4,4-5,Right-hand drive,White,2,0,25
21953,781.0,TOYOTA,Camry,Sedan,No,Petrol,2.5,195053.0,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,11
19121,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,121362.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,11
36065,639.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,69191.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,9
8781,1111.0,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,83000.0,4.0,Tiptronic,Front,4-5,Right-hand drive,Green,12,0,11
6247,760.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,40772.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,13
16289,642.0,CHEVROLET,Orlando,Jeep,Yes,Diesel,2.0,172000.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,11
47356,1604.0,MERCEDES-BENZ,GL 63 AMG,Jeep,Yes,Petrol,3.55,362717.5,8.0,Automatic,4x4,4-5,Left wheel,Black,10,0,9
2822,0.0,BMW,520 Vanos,Sedan,Yes,Petrol,2.0,350000.0,6.0,Manual,Rear,4-5,Left wheel,Blue,2,0,28
549,781.0,SUBARU,Forester,Jeep,Yes,Petrol,2.5,148213.0,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,0,11
6981,1095.0,DAEWOO,Lacetti,Sedan,Yes,Petrol,2.0,103246.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,15
27284,891.0,HYUNDAI,Elantra,Sedan,No,Petrol,2.0,105394.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,0,7
32929,0.0,BMW,428 Sport Line,Coupe,Yes,Petrol,2.0,160000.0,4.0,Automatic,Rear,2-3,Left wheel,Black,12,1,10
18817,0.0,NISSAN,Patrol,Jeep,No,Diesel,2.8,333333.0,4.0,Manual,Rear,4-5,Left wheel,Black,0,1,33
4234,0.0,HONDA,Civic,Hatchback,Yes,Petrol,1.4,0.0,4.0,Manual,Front,2-3,Left wheel,Blue,6,0,26
15053,0.0,MERCEDES-BENZ,E 320,Sedan,Yes,Petrol,3.2,214000.0,6.0,Tiptronic,Rear,4-5,Left wheel,Grey,8,0,19
15458,966.0,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,123346.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,14
2901,473.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,80827.0,4.0,Automatic,Front,4-5,Left wheel,Green,12,0,9
706,1138.0,PORSCHE,911,Coupe,Yes,Petrol,3.55,64464.0,6.0,Automatic,Rear,2-3,Left wheel,Black,12,0,10
314,382.0,FORD,Fusion,Sedan,Yes,Hybrid,2.0,91760.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,8
15681,1811.0,LEXUS,GX 460,Jeep,Yes,Petrol,3.55,275240.0,8.0,Automatic,4x4,4-5,Left wheel,Silver,0,0,13
26657,0.0,MERCEDES-BENZ,Sprinter,Microbus,No,Diesel,2.2,300000.0,4.0,Manual,Rear,4-5,Left wheel,White,1,1,19
10663,988.0,TOYOTA,Prius,Hatchback,No,Petrol,1.5,318400.0,4.0,Automatic,Front,4-5,Left wheel,Silver,6,0,16
12858,765.0,FORD,Focus SE,Sedan,No,Petrol,2.0,91200.0,4.0,Automatic,Front,4-5,Left wheel,Sky blue,10,0,8
1019,917.0,BMW,X5,Jeep,Yes,Diesel,3.0,137802.0,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,10
549,917.0,BMW,535,Sedan,Yes,Hybrid,3.0,151586.0,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,10
12858,0.0,KIA,Picanto,Hatchback,No,Petrol,1.2,107000.0,4.0,Manual,Front,4-5,Left wheel,Silver,2,0,7
15000,0.0,BMW,328,Sedan,Yes,CNG,3.0,210408.0,6.0,Tiptronic,Rear,4-5,Left wheel,White,12,0,15
47356,1156.0,FORD,Explorer,Jeep,Yes,Petrol,2.3,100567.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,6
44752,1091.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,86000.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,7
17158,687.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,122740.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,13
12231,0.0,MITSUBISHI,Airtrek,Jeep,No,LPG,2.4,144000.0,4.0,Tiptronic,4x4,4-5,Right-hand drive,White,16,0,18
11917,2287.5,MERCEDES-BENZ,E 500 AMG,Sedan,Yes,Petrol,3.55,150000.0,12.0,Tiptronic,Rear,4-5,Right-hand drive,White,12,0,20
1254,0.0,MITSUBISHI,Lancer,Sedan,No,Petrol,1.3,100000.0,4.0,Manual,Rear,4-5,Left wheel,Red,0,0,26
25591,640.0,SSANGYONG,Korando,Jeep,Yes,Diesel,2.0,85704.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,10
14897,836.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,58962.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,13
23521,779.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,90000.0,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,10
3450,0.0,RENAULT,Clio,Hatchback,No,Petrol,1.2,50000.0,3.0,Manual,Front,2-3,Left wheel,Green,0,0,28
706,777.0,MAZDA,616,Sedan,Yes,Petrol,2.5,0.0,4.0,Automatic,Front,4-5,Left wheel,Red,12,0,9
1019,1537.0,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,318358.0,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,14
16935,765.0,FORD,Fusion,Sedan,Yes,Petrol,2.0,71454.0,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,8
19444,781.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,0.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,0,11
11604,639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,346470.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,9
47356,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,59515.0,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,7
706,394.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,115312.0,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,9
9408,0.0,MERCEDES-BENZ,C 220,Sedan,No,Diesel,2.2,111111.0,4.0,Manual,Rear,4-5,Left wheel,Silver,4,1,24
13328,1347.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,74444.0,4.0,Automatic,Front,4-5,Left wheel,Yellow,4,0,15
17876,0.0,NISSAN,Serena,Minivan,No,Petrol,2.0,143000.0,4.0,Tiptronic,Front,4-5,Right-hand drive,White,12,0,11
549,2287.5,NISSAN,Maxima,Sedan,Yes,Petrol,3.5,299709.0,6.0,Automatic,Front,4-5,Left wheel,Grey,12,0,19
20071,0.0,TOYOTA,RAV 4,Jeep,No,Petrol,2.4,135000.0,4.0,Automatic,4x4,4-5,Left wheel,Silver,8,0,15
22894,862.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,124444.0,4.0,Automatic,Front,4-5,Left wheel,Yellow,4,0,12
2901,503.0,HONDA,Civic,Sedan,Yes,Hybrid,1.5,146403.0,4.0,Automatic,Front,4-5,Left wheel,White,0,0,11
15681,0.0,MITSUBISHI,Pajero,Jeep,No,Petrol,2.4,142000.0,4.0,Automatic,4x4,2-3,Left wheel,Blue,6,0,26
39829,1811.0,LEXUS,GX 460,Jeep,Yes,Petrol,3.55,155821.0,8.0,Automatic,4x4,4-5,Left wheel,Black,0,0,13
706,1646.0,LEXUS,GX 460,Jeep,Yes,Petrol,3.55,102907.0,8.0,Automatic,4x4,4-5,Left wheel,Black,0,0,8
18660,0.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,130000.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,0,10
22580,1017.0,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,50930.0,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,6
11604,639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,264872.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,9
314,259.0,CHEVROLET,Volt,Hatchback,Yes,Hybrid,1.4,131893.0,4.0,Automatic,Front,4-5,Left wheel,Brown,0,0,9
5488,751.0,GMC,TERRAIN,Jeep,Yes,Petrol,2.4,138958.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,10
4300,0.0,MERCEDES-BENZ,208,Universal,No,Diesel,2.5,362717.5,4.0,Manual,Rear,4-5,Left wheel,Black,1,0,38
18817,609.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,5
21169,697.0,HONDA,Hr-v EX,Jeep,No,Petrol,1.8,33330.0,4.0,Automatic,4x4,4-5,Left wheel,Grey,8,0,8
9095,0.0,FIAT,500,Coupe,No,Petrol,1.2,141000.0,4.0,Automatic,Front,2-3,Right-hand drive,Red,4,0,12
1568,639.0,VOLKSWAGEN,Jetta,Sedan,Yes,Diesel,2.0,82392.0,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,9
3136,0.0,SUBARU,Legacy,Goods wagon,No,Petrol,2.0,180000.0,6.0,Tiptronic,4x4,4-5,Right-hand drive,Blue,6,1,18
17876,585.0,HYUNDAI,Elantra sport limited,Sedan,Yes,Petrol,1.8,117920.0,4.0,Tiptronic,Front,4-5,Left wheel,Grey,12,0,10
11290,891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,279787.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,7
36065,1399.0,TOYOTA,Sienna,Minivan,Yes,Petrol,3.5,227200.0,6.0,Tiptronic,Front,4-5,Left wheel,White,16,0,13
862,394.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,130478.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,9
21395,781.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,166144.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11
15681,891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,258706.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,7
627,475.0,CHEVROLET,Volt,Jeep,Yes,Hybrid,1.4,188419.0,4.0,Automatic,Front,4-5,Left wheel,Red,0,0,11
40070,690.0,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,25807.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,7
11917,0.0,MERCEDES-BENZ,A 170,Hatchback,No,Petrol,1.7,180000.0,4.0,Automatic,Front,4-5,Left wheel,Golden,8,0,15
47356,1079.0,LEXUS,NX 300,Jeep,Yes,Petrol,2.0,18918.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,1,5
35927,640.0,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,137267.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,10
21012,308.0,TOYOTA,Prius,Sedan,No,Hybrid,1.8,160000.0,4.0,Automatic,4x4,4-5,Left wheel,White,4,0,9
21012,1823.0,TOYOTA,Tacoma,Sedan,Yes,Petrol,3.5,27358.0,6.0,Automatic,Front,4-5,Left wheel,Grey,12,0,5
13172,1361.0,KIA,Carnival grand,Minivan,Yes,Diesel,2.9,84176.0,4.0,Automatic,Front,4-5,Left wheel,White,6,0,14
15624,707.0,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,107005.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,12
4547,0.0,OPEL,Vectra,Sedan,No,Petrol,1.6,15000.0,4.0,Manual,Front,4-5,Left wheel,Beige,2,0,26
5488,1273.0,INFINITI,QX60,Jeep,Yes,Petrol,3.5,124154.0,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,8
20005,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,104997.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,11
36110,924.0,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,1.8,27728.0,6.0,Tiptronic,Front,4-5,Left wheel,Silver,8,0,6
7840,0.0,MERCEDES-BENZ,E 240 E 240,Sedan,Yes,Petrol,2.4,362717.5,6.0,Manual,Rear,4-5,Left wheel,Blue,4,0,25
470,1077.0,MAZDA,1000,Jeep,Yes,Petrol,2.0,11566.0,4.0,Automatic,4x4,4-5,Left wheel,Black,12,0,4
1300,0.0,AUDI,50,Coupe,Yes,Petrol,0.7500000000000002,4000.0,1.0,Tiptronic,Rear,>5,Right-hand drive,Blue,0,0,5
43880,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,113700.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,7
29479,584.0,MERCEDES-BENZ,C 250,Sedan,Yes,Petrol,1.8,69000.0,4.0,Tiptronic,Rear,4-5,Left wheel,Grey,8,1,9
17249,0.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,152000.0,4.0,Variator,Front,4-5,Left wheel,White,12,0,12
9408,0.0,TOYOTA,Vitz funkargo,Universal,No,Petrol,1.5,181926.0,4.0,Automatic,4x4,4-5,Right-hand drive,Silver,2,0,20
44213,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,50255.0,4.0,Automatic,Front,4-5,Left wheel,Red,4,0,7
8467,2078.0,BMW,325,Sedan,Yes,Petrol,2.5,252800.0,6.0,Manual,Rear,4-5,Left wheel,Grey,6,0,22
627,915.0,AUDI,A6,Sedan,Yes,Petrol,3.0,164488.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,9
21950,831.0,FORD,Transit,Goods wagon,No,Diesel,2.4,125000.0,4.0,Manual,4x4,4-5,Left wheel,White,2,1,12
706,475.0,FIAT,500,Hatchback,Yes,Petrol,1.4,164574.0,4.0,Automatic,Front,4-5,Left wheel,Red,12,0,11
3136,473.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,156992.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,9
3450,0.0,OPEL,Vectra,Sedan,No,CNG,2.0,0.0,4.0,Manual,Front,4-5,Left wheel,White,2,0,28
9408,0.0,MITSUBISHI,Pajero,Jeep,No,Petrol,3.5,11000.0,6.0,Tiptronic,4x4,4-5,Right-hand drive,Silver,4,1,25
31500,0.0,NISSAN,Pathfinder,Jeep,Yes,LPG,3.55,90200.0,6.0,Tiptronic,4x4,4-5,Left wheel,Black,12,0,13
20385,0.0,MITSUBISHI,Delica,Minivan,Yes,Petrol,3.0,184000.0,6.0,Automatic,4x4,4-5,Right-hand drive,White,12,0,18
314,1053.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,149486.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,9
2300,0.0,VOLKSWAGEN,Golf,Sedan,No,CNG,2.0,0.0,4.0,Manual,Front,4-5,Left wheel,Green,0,0,27
7840,0.0,MERCEDES-BENZ,Vaneo,Universal,No,LPG,1.9,170000.0,4.0,Tiptronic,Front,4-5,Left wheel,Silver,4,0,19
47356,0.0,TOYOTA,Camry Se,Sedan,Yes,Petrol,2.5,25000.0,4.0,Tiptronic,Front,4-5,Left wheel,Blue,12,0,5
1490,639.0,VOLKSWAGEN,Jetta,Universal,Yes,Diesel,2.0,113214.0,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,9
627,836.0,TOYOTA,Tacoma,Sedan,Yes,Petrol,2.7,362717.5,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,11
